CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,SupportTickets,SatisfactionScore,Churn,TenureGroup,MonthlyChargeCategory,SupportLevel,AverageMonthlySpend
CUST000001,Female,19,0,Yes,Yes,14,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Electronic Check,63.94,902.51,2,5,Yes,1-2 Years,Medium,Medium,64.465
CUST000002,Female,55,0,Yes,No,57,No,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-month,Electronic Check,72.51,4116.15,0,3,No,4-6 Years,High,Low,72.21315789473684
CUST000003,Female,64,1,Yes,No,5,No,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Two year,Credit Card,103.43,561.13,0,4,Yes,0-1 Year,High,Low,112.226
CUST000004,Female,28,0,No,No,46,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Credit Card,88.81,4107.41,2,1,Yes,2-4 Years,High,Medium,89.29152173913043
CUST000005,Female,69,1,No,No,4,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-month,Credit Card,66.66,296.04,1,5,Yes,0-1 Year,Medium,Low,74.01
CUST000006,Female,75,1,No,No,54,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One year,Mailed Check,66.62,3609.05,1,4,No,4-6 Years,Medium,Low,66.83425925925927
CUST000007,Female,51,0,Yes,No,59,No,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-month,Bank Transfer,56.77,3406.06,1,2,Yes,4-6 Years,Medium,Low,57.72983050847458
CUST000008,Female,73,1,Yes,Yes,13,Yes,Cable,No,No,Yes,Yes,No,No,Month-to-month,Credit Card,60.66,833.94,2,1,Yes,1-2 Years,Medium,Medium,64.14923076923077
CUST000009,Male,70,1,Yes,Yes,62,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Bank Transfer,101.07,6258.91,0,5,No,4-6 Years,High,Low,100.95016129032258
CUST000010,Male,32,0,No,No,31,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Bank Transfer,82.1,2493.6,1,2,No,2-4 Years,High,Low,80.43870967741935
CUST000011,Male,31,0,No,No,62,No,Fiber Optic,No,Yes,Yes,Yes,No,No,Month-to-month,Mailed Check,64.19,4023.44,2,1,Yes,4-6 Years,Medium,Medium,64.8941935483871
CUST000012,Female,21,0,No,No,12,Yes,Cable,Yes,Yes,Yes,No,Yes,No,Month-to-month,Mailed Check,49.75,566.98,1,1,Yes,0-1 Year,Low,Low,47.248333333333335
CUST000013,Male,24,0,Yes,No,70,Yes,Unknown,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed Check,20.87,1458.66,1,4,No,4-6 Years,Low,Low,20.838
CUST000014,Male,42,0,No,No,21,No,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-month,Electronic Check,82.01,1731.71,2,5,Yes,1-2 Years,High,Medium,82.46238095238095
CUST000015,Male,21,0,No,No,40,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Credit Card,68.29,2741.07,0,1,Yes,2-4 Years,Medium,Low,68.52675
CUST000016,Female,60,1,No,No,53,No,Fiber Optic,Yes,No,No,Yes,No,No,Month-to-month,Electronic Check,78.08,4079.36,0,5,No,4-6 Years,High,Low,76.96905660377358
CUST000017,Male,22,0,No,No,12,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Two year,Bank Transfer,72.92,888.44,1,5,Yes,0-1 Year,High,Low,74.03666666666668
CUST000018,Male,37,0,Yes,Yes,70,Yes,Cable,No,No,Yes,No,Yes,No,Month-to-month,Bank Transfer,49.58,3519.24,2,1,Yes,4-6 Years,Low,Medium,50.27485714285714
CUST000019,Female,71,1,Yes,Yes,54,No,Cable,Yes,No,No,Yes,Yes,Yes,Two year,Credit Card,34.65,1876.57,1,3,No,4-6 Years,Low,Low,34.751296296296296
CUST000020,Male,45,0,Yes,Yes,18,Yes,Cable,No,Yes,Yes,Yes,No,No,Two year,Credit Card,57.42,1084.65,2,2,No,1-2 Years,Medium,Medium,60.25833333333334
CUST000021,Female,74,1,Yes,Yes,22,No,Unknown,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit Card,43.56,930.34,1,1,No,1-2 Years,Low,Low,42.28818181818182
CUST000022,Female,72,1,Yes,Yes,4,No,Unknown,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Credit Card,41.76,133.79,1,2,Yes,0-1 Year,Low,Low,33.4475
CUST000023,Male,73,1,No,No,35,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-to-month,Mailed Check,80.96,2815.08,1,3,Yes,2-4 Years,High,Low,80.43085714285714
