CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,SupportTickets,SatisfactionScore,Churn
CUST000001,Female,19,0,Yes,Yes,14,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Electronic Check,63.94,902.51,2,5,Yes
CUST000002,Female,55,0,Yes,No,57,No,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-month,Electronic Check,72.51,4116.15,0,3,No
CUST000003,Female,64,1,Yes,No,5,No,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Two year,Credit Card,103.43,561.13,0,4,Yes
CUST000004,Female,28,0,No,No,46,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Credit Card,88.81,4107.41,2,1,Yes
CUST000005,Female,69,1,No,No,4,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-month,Credit Card,66.66,296.04,1,5,Yes
CUST000006,Female,75,1,No,No,54,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One year,Mailed Check,66.62,3609.05,1,4,No
CUST000007,Female,51,0,Yes,No,59,No,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-month,Bank Transfer,56.77,3406.06,1,2,Yes
CUST000008,Female,73,1,Yes,Yes,13,Yes,Cable,No,No,Yes,Yes,No,No,Month-to-month,Credit Card,60.66,833.94,2,1,Yes
CUST000009,Male,70,1,Yes,Yes,62,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Bank Transfer,101.07,6258.91,0,5,No
CUST000010,Male,32,0,No,No,31,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Bank Transfer,82.1,2493.6,1,2,No
CUST000011,Male,31,0,No,No,62,No,Fiber Optic,No,Yes,Yes,Yes,No,No,Month-to-month,Mailed Check,64.19,4023.44,2,1,Yes
CUST000012,Female,21,0,No,No,12,Yes,Cable,Yes,Yes,Yes,No,Yes,No,Month-to-month,Mailed Check,49.75,566.98,1,1,Yes
CUST000013,Male,24,0,Yes,No,70,Yes,None,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed Check,20.87,1458.66,1,4,No
CUST000014,Male,42,0,No,No,21,No,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-month,Electronic Check,82.01,1731.71,2,5,Yes
CUST000015,Male,21,0,No,No,40,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Credit Card,68.29,2741.07,0,1,Yes
CUST000016,Female,60,1,No,No,53,No,Fiber Optic,Yes,No,No,Yes,No,No,Month-to-month,Electronic Check,78.08,4079.36,0,5,No
CUST000017,Male,22,0,No,No,12,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Two year,Bank Transfer,72.92,888.44,1,5,Yes
CUST000018,Male,37,0,Yes,Yes,70,Yes,Cable,No,No,Yes,No,Yes,No,Month-to-month,Bank Transfer,49.58,3519.24,2,1,Yes
CUST000019,Female,71,1,Yes,Yes,54,No,Cable,Yes,No,No,Yes,Yes,Yes,Two year,Credit Card,34.65,1876.57,1,3,No
CUST000020,Male,45,0,Yes,Yes,18,Yes,Cable,No,Yes,Yes,Yes,No,No,Two year,Credit Card,57.42,1084.65,2,2,No
CUST000021,Female,74,1,Yes,Yes,22,No,None,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit Card,43.56,930.34,1,1,No
CUST000022,Female,72,1,Yes,Yes,4,No,None,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Credit Card,41.76,133.79,1,2,Yes
CUST000023,Male,73,1,No,No,35,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-to-month,Mailed Check,80.96,2815.08,1,3,Yes
CUST000024,Female,25,0,Yes,Yes,65,Yes,Cable,Yes,No,No,Yes,No,No,One year,Electronic Check,72.56,4742.77,1,3,No
CUST000025,Female,38,0,No,No,52,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Credit Card,69.63,3612.35,2,5,Yes
CUST000026,Female,47,0,No,No,41,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Credit Card,79.41,3292.6,3,2,Yes
CUST000027,Female,80,1,Yes,Yes,31,Yes,Cable,No,No,No,Yes,Yes,Yes,Two year,Electronic Check,115.7,3620.11,1,2,Yes
CUST000028,Male,47,0,Yes,No,66,Yes,Fiber Optic,No,No,No,No,No,Yes,One year,Mailed Check,58.43,3850.39,0,2,No
CUST000029,Female,67,1,Yes,Yes,35,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-to-month,Mailed Check,76.57,2703.22,1,2,Yes
CUST000030,Female,39,0,No,No,52,No,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-month,Mailed Check,69.62,3662.65,1,4,Yes
CUST000031,Male,69,1,No,No,69,No,Fiber Optic,No,Yes,No,No,No,Yes,Two year,Credit Card,101.6,7068.09,0,5,Yes
CUST000032,Male,55,0,Yes,No,50,No,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-to-month,Bank Transfer,65.67,3314.85,0,4,Yes
CUST000033,Male,34,0,No,No,53,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Electronic Check,60.45,3218.41,5,2,Yes
CUST000034,Male,54,0,No,No,14,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Mailed Check,45.97,631.18,4,2,Yes
CUST000035,Female,24,0,Yes,No,31,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Mailed Check,50.38,1514.44,3,3,No
CUST000036,Male,63,1,No,No,58,No,Fiber Optic,No,No,No,No,No,Yes,Two year,Electronic Check,68.38,3939.51,1,4,Yes
CUST000037,Female,54,0,No,No,59,No,Fiber Optic,Yes,No,Yes,No,No,No,Month-to-month,Bank Transfer,67.88,4011.61,2,5,No
CUST000038,Female,33,0,No,No,10,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Credit Card,49.8,474.74,2,5,Yes
CUST000039,Female,51,0,No,No,70,No,None,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed Check,24.67,1699.41,1,3,Yes
CUST000040,Male,38,0,Yes,Yes,24,No,Cable,No,Yes,Yes,No,Yes,No,Month-to-month,Electronic Check,24.88,622.08,0,2,Yes
CUST000041,Female,53,0,Yes,No,6,Yes,Cable,Yes,No,No,No,No,No,Month-to-month,Electronic Check,56.08,306.78,0,4,Yes
CUST000042,Female,43,0,Yes,No,8,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,Credit Card,99.34,827.8,1,4,Yes
CUST000043,Female,37,0,No,No,56,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic Check,44.66,2459.74,2,4,Yes
CUST000044,Male,36,0,Yes,Yes,60,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Credit Card,67.41,4093.61,2,2,Yes
CUST000045,Female,68,1,No,No,21,No,Fiber Optic,No,No,No,No,No,Yes,One year,Mailed Check,60.57,1300.11,2,5,No
CUST000046,Male,32,0,No,No,11,Yes,DSL,No,No,No,Yes,No,No,Two year,Mailed Check,79.91,860.77,0,3,No
CUST000047,Male,72,1,No,No,13,No,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-month,Electronic Check,66.12,915.98,0,4,No
CUST000048,Female,60,1,No,No,0,No,Fiber Optic,No,No,Yes,Yes,No,Yes,Two year,Mailed Check,91.62,45.7,0,4,Yes
CUST000049,Male,63,1,No,No,30,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Bank Transfer,85.72,2572.66,0,3,Yes
CUST000050,Female,80,1,Yes,Yes,61,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Two year,Bank Transfer,90.72,5561.05,1,5,No
CUST000051,Male,73,1,No,No,62,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Credit Card,35.88,2267.28,1,4,Yes
CUST000052,Female,63,1,No,No,60,Yes,None,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic Check,33.52,1966.35,1,5,Yes
CUST000053,Female,73,1,Yes,Yes,12,Yes,DSL,No,Yes,Yes,No,No,No,One year,Mailed Check,40.9,508.78,2,3,No
CUST000054,Female,42,0,No,No,68,Yes,Cable,Yes,Yes,No,Yes,Yes,No,Two year,Electronic Check,49.2,3338.84,3,3,No
CUST000055,Male,38,0,No,No,5,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Mailed Check,69.16,360.17,3,2,Yes
CUST000056,Female,32,0,No,No,18,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Bank Transfer,51.29,939.89,1,4,No
CUST000057,Female,72,1,Yes,No,58,Yes,Cable,Yes,No,No,No,No,Yes,Two year,Mailed Check,66.12,3807.9,0,5,No
CUST000058,Female,76,1,No,No,6,Yes,Cable,No,Yes,Yes,No,Yes,Yes,Two year,Electronic Check,76.91,438.53,0,4,Yes
CUST000059,Male,64,1,Yes,No,46,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Mailed Check,79.07,3693.31,0,3,No
CUST000060,Male,69,1,No,No,43,Yes,None,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit Card,40.25,1773.97,0,4,No
CUST000061,Male,41,0,No,No,71,Yes,Fiber Optic,No,No,No,No,No,Yes,One year,Mailed Check,78.15,5491.65,2,5,No
CUST000062,Male,59,0,No,No,28,No,None,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic Check,20.0,516.77,1,1,Yes
CUST000063,Male,25,0,Yes,No,63,No,Fiber Optic,No,No,Yes,No,Yes,No,One year,Bank Transfer,95.85,5982.48,3,3,Yes
CUST000064,Male,78,1,No,No,56,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Two year,Mailed Check,60.23,3323.88,0,2,No
CUST000065,Female,21,0,Yes,No,2,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,One year,Electronic Check,30.34,33.95,0,2,No
CUST000066,Male,34,0,Yes,No,69,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Month-to-month,Mailed Check,61.11,4219.72,3,1,Yes
CUST000067,Male,50,0,No,No,46,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Electronic Check,55.23,2539.41,2,4,Yes
CUST000068,Male,38,0,Yes,Yes,10,No,DSL,No,No,No,No,Yes,Yes,Two year,Credit Card,81.16,803.21,1,2,Yes
CUST000069,Female,43,0,Yes,Yes,58,No,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Electronic Check,75.76,4423.43,0,3,No
CUST000070,Female,21,0,Yes,Yes,71,No,Cable,Yes,No,No,No,Yes,Yes,Month-to-month,Mailed Check,52.53,3696.54,4,1,Yes
CUST000071,Male,41,0,No,No,71,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Bank Transfer,52.77,3687.4,3,2,No
CUST000072,Male,22,0,Yes,Yes,51,No,DSL,No,No,No,Yes,No,No,One year,Electronic Check,68.33,3530.83,2,2,Yes
CUST000073,Male,61,1,No,No,6,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-month,Electronic Check,78.85,447.09,3,5,Yes
CUST000074,Male,20,0,No,No,39,Yes,None,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank Transfer,20.0,833.44,2,2,No
CUST000075,Male,38,0,Yes,Yes,37,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Month-to-month,Mailed Check,94.03,3529.65,3,3,Yes
CUST000076,Female,63,1,No,No,51,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Two year,Credit Card,75.92,3864.2,1,4,No
CUST000077,Female,73,1,No,No,50,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Credit Card,80.48,3994.72,2,2,Yes
CUST000078,Female,29,0,No,No,9,No,Cable,No,No,Yes,No,Yes,No,Month-to-month,Bank Transfer,59.63,572.23,4,5,Yes
CUST000079,Female,22,0,No,No,64,Yes,DSL,No,No,Yes,Yes,No,No,One year,Electronic Check,34.25,2185.97,0,5,No
CUST000080,Female,56,0,Yes,No,41,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Credit Card,27.99,1131.26,1,3,No
CUST000081,Male,61,1,No,No,43,Yes,Fiber Optic,No,No,No,Yes,No,Yes,One year,Credit Card,116.66,5066.39,1,3,No
CUST000082,Male,26,0,No,No,50,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Credit Card,21.39,1050.51,0,4,Yes
CUST000083,Male,27,0,No,No,17,Yes,Cable,Yes,No,Yes,No,Yes,Yes,Month-to-month,Credit Card,38.92,688.18,2,1,Yes
CUST000084,Female,80,1,No,No,30,No,Cable,Yes,Yes,No,No,Yes,No,One year,Mailed Check,48.97,1464.5,1,3,No
CUST000085,Female,51,0,Yes,No,64,Yes,Cable,No,Yes,No,No,Yes,Yes,Month-to-month,Credit Card,55.82,3545.21,2,5,Yes
CUST000086,Male,23,0,No,No,55,Yes,Cable,No,Yes,No,No,Yes,No,Two year,Bank Transfer,43.27,2346.79,2,3,No
CUST000087,Male,68,1,Yes,Yes,42,No,None,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit Card,20.0,871.06,1,4,No
CUST000088,Male,75,1,Yes,Yes,0,No,Cable,Yes,No,Yes,No,Yes,Yes,Month-to-month,Mailed Check,70.34,0.0,0,4,Yes
CUST000089,Male,58,0,Yes,Yes,2,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Two year,Electronic Check,61.11,109.07,0,4,Yes
CUST000090,Female,80,1,No,No,49,No,Cable,Yes,No,Yes,Yes,No,Yes,Month-to-month,Bank Transfer,84.9,4197.72,0,2,No
CUST000091,Female,80,1,Yes,No,59,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Bank Transfer,80.72,4764.33,2,5,No
CUST000092,Male,66,1,No,No,4,Yes,Fiber Optic,No,No,Yes,No,No,No,One year,Mailed Check,45.98,164.6,3,2,Yes
CUST000093,Female,41,0,Yes,No,63,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Month-to-month,Mailed Check,47.65,2961.95,1,4,Yes
CUST000094,Female,64,1,No,No,5,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Two year,Mailed Check,66.28,275.58,0,1,Yes
CUST000095,Female,41,0,Yes,No,46,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Bank Transfer,50.73,2303.53,0,1,Yes
CUST000096,Female,49,0,Yes,Yes,23,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Two year,Mailed Check,108.7,2460.82,1,4,No
CUST000097,Female,60,1,Yes,Yes,40,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,One year,Credit Card,70.45,2852.84,1,1,No
CUST000098,Male,47,0,Yes,Yes,47,No,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-month,Bank Transfer,52.54,2424.78,1,5,No
CUST000099,Male,67,1,No,No,23,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Credit Card,80.94,1843.14,3,5,No
CUST000100,Male,34,0,No,No,10,No,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Electronic Check,49.15,441.25,0,5,Yes
CUST000101,Female,67,1,Yes,Yes,26,No,DSL,No,No,Yes,No,No,No,Month-to-month,Electronic Check,51.36,1294.33,3,4,Yes
CUST000102,Male,39,0,No,No,26,No,Cable,No,No,Yes,No,Yes,No,Month-to-month,Electronic Check,56.1,1430.7,2,2,Yes
CUST000103,Female,36,0,No,No,6,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Month-to-month,Bank Transfer,72.27,433.3,2,1,Yes
CUST000104,Male,47,0,Yes,No,64,No,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-month,Bank Transfer,85.59,5505.06,0,4,Yes
